timestamp_ns,t_s,sensor_id,ax,ay,az,gx,gy,gz
5241460999821,0.059808802,1,0.23822306518554687,1.687912170410156,-11.170147845458983,-1.16793893129771,0.7862595419847328,-1.9694656488549618
5241465892790,0.064701771,1,0.23104046020507812,1.7130512878417967,-11.21084927368164,-0.8015267175572519,0.5725190839694656,-1.282442748091603
5241470894301,0.069703282,1,0.23702596435546874,1.763329522705078,-11.154585534667968,-0.7175572519083969,0.5267175572519084,-1.3053435114503817
5241475897738,0.074706719,1,0.2609679809570312,1.7274164978027342,-11.208455072021483,-0.7633587786259542,0.5801526717557252,-1.366412213740458
5241480891748,0.079700729,1,0.23702596435546874,1.7681179260253905,-11.201272467041015,-0.7709923664122137,0.5190839694656488,-1.2900763358778626
5241485890082,0.084699063,1,0.24660277099609373,1.6891092712402342,-11.146205828857422,-0.8473282442748091,0.6793893129770993,-1.282442748091603
5241490890030,0.089699011,1,0.21068974609375,1.7214309936523438,-11.231199987792968,-0.8702290076335878,0.6717557251908397,-1.3511450381679388
5241495887894,0.094696875,1,0.17956512451171874,1.7453730102539062,-11.208455072021483,-0.7404580152671756,0.5725190839694656,-1.3587786259541985
5241500890238,0.099699219,1,0.18076222534179687,1.7417817077636717,-11.179724652099608,-0.8015267175572519,0.4732824427480916,-1.3206106870229009
5241505890290,0.104699271,1,0.22864625854492185,1.7369933044433592,-11.235988391113281,-0.8244274809160306,0.6335877862595419,-1.3206106870229009
5241510888676,0.109697657,1,0.21906945190429686,1.7549498168945312,-11.212046374511718,-0.7862595419847328,0.5725190839694656,-1.366412213740458
5241515887946,0.114696927,1,0.22505495605468748,1.7573440185546874,-11.240776794433593,-0.7938931297709924,0.5419847328244275,-1.3587786259541985
5241520889092,0.119698073,1,0.24899697265624998,1.7094599853515624,-11.156979736328124,-0.7557251908396947,0.5038167938931297,-1.282442748091603
5241525889196,0.124698177,1,0.23822306518554687,1.714248388671875,-11.206060870361327,-0.8549618320610687,0.6106870229007634,-1.251908396946565
